godina;sifra_programa;naziv_programa;sifra_ekonomske;naziv_ekonomske;plan_eur;isplaceno_eur;razlika_eur;omjer_posto
2026;A022125A212501;REDOVNA DJELATNOST PRORAČUNSKIH KORISNIKA;4227;Uređaji, strojevi i oprema za ostale namjene;150000.00;558250.00;408250.00;372.2
2026;A011105A110501;REDOVNA DJELATNOST UPRAVNIH TIJELA;3238;Računalne usluge;1000.00;348166.18;347166.18;34816.6
2026;A011106A110601;REDOVNA DJELATNOST UPRAVNIH TIJELA;3235;Zakupnine i najamnine;165000.00;487326.28;322326.28;295.3
2026;A022125A212501;REDOVNA DJELATNOST PRORAČUNSKIH KORISNIKA;4226;Sportska i glazbena oprema;150000.00;466666.69;316666.69;311.1
2026;A011608A160803;BOKSOVI ZA SMJEŠTAJ SPREMNIKA ZA KOMUNALNI OTPAD;3722;Naknade građanima i kućanstvima u naravi;300000.00;586848.40;286848.40;195.6
2026;A011209K120901;ODRŽAVANJE I OPREMANJE USTANOVA SREDNJEG ŠKOLSTVA I UČENIČKIH DOMOVA;3239;Ostale usluge;203200.00;473898.20;270698.20;233.2
2026;A011908A190801;ZAGREBAČKI ELEKTRIČNI TRAMVAJ;5321;Dionice i udjeli u glavnici trgovačkih društava u javnom sektoru;8271000.00;8500000.00;229000.00;102.8
2026;A011208A120805;REGIONALNA ENERGETSKA AGENCIJA SJEVEROZAPADNE HRVATSKE;3811;Tekuće donacije u novcu;1000000.00;1200000.00;200000.00;120.0
2026;A011212K121212;GORNJA POSTAJA STARE ŽIČARE;4212;Poslovni objekti;500000.00;673926.89;173926.89;134.8
2026;A012108A210801;POMOĆI ZA SLUČAJ PRIRODNIH NEPOGODA NA PODRUČJU GRADA ZAGREBA;3831;Naknade šteta pravnim i fizičkim osobama;150000.00;315579.65;165579.65;210.4
2026;A023109A310901;REDOVNA DJELATNOST PRORAČUNSKIH KORISNIKA;3291;Naknade za rad predstavničkih i izvršnih tijela, povjerenstava i slično;402900.00;532604.78;129704.78;132.2
2026;A023109A310908;POMOĆNICI U NASTAVI;3132;Doprinosi za obvezno zdravstveno osiguranje;1101500.00;1217759.20;116259.20;110.6
2026;A011109A110901;REDOVNA DJELATNOST UPRAVNIH TIJELA;3235;Zakupnine i najamnine;367100.00;479951.74;112851.74;130.7
2026;A012208T220808;FLORAART;3512;Subvencije trgovačkim društvima u javnom sektoru;250000.00;350000.00;100000.00;140.0
2026;A011101A110101;REDOVNA DJELATNOST UPRAVNIH TIJELA;3111;Plaće za redovan rad;2715000.00;2809976.89;94976.89;103.5
2026;A012908T290806;CoFarm4Cities;3239;Ostale usluge;25000.00;116074.34;91074.34;464.3
2026;A011212K121205;SPORTSKI OBJEKTI;4511;Dodatna ulaganja na građevinskim objektima;11220000.00;11306630.42;86630.42;100.8
2026;A011105A110501;REDOVNA DJELATNOST UPRAVNIH TIJELA;3299;Ostali nespomenuti rashodi poslovanja;100000.00;180422.90;80422.90;180.4
2026;A011105A110501;REDOVNA DJELATNOST UPRAVNIH TIJELA;3235;Zakupnine i najamnine;70000.00;140814.24;70814.24;201.2
2026;A011105A110501;REDOVNA DJELATNOST UPRAVNIH TIJELA;3831;Naknade šteta pravnim i fizičkim osobama;500000.00;570220.29;70220.29;114.0
