godina;sifra;naziv;iznos_eur;broj_isplata;broj_primatelja;udio_posto
2024;3822;KAPITALNE DONACIJE GRAĐANIMA I KUĆANSTVIMA;767250.83;24;11;0.05
2024;3211;SLUŽBENA PUTOVANJA;719131.10;4193;333;0.04
2024;3662;KAPITALNE POMOĆI PRORAČUNSKIM KORISNICIMA DRUGIH PRORAČUNA;700977.42;2;1;0.04
2024;4262;ULAGANJA U RAČUNALNE PROGRAME;619177.81;34;22;0.04
2024;3431;BANKARSKE USLUGE I USLUGE PLATNOG PROMETA;547380.23;3913;341;0.03
2024;4211;STAMBENI OBJEKTI;503009.00;6;2;0.03
2024;4226;SPORTSKA I GLAZBENA OPREMA;502669.74;30;11;0.03
2024;3113;PLAĆE ZA PREKOVREMENI RAD;494791.92;198;13;0.03
2024;3213;STRUČNO USAVRŠAVANJE ZAPOSLENIKA;451212.47;3215;368;0.03
2024;3293;REPREZENTACIJA;381167.31;2848;338;0.02
2024;4124;OSTALA PRAVA;329503.75;3;1;0.02
2024;3821;KAPITALNE DONACIJE NEPROFITNIM ORGANIZACIJAMA;288701.86;2;1;0.02
2024;3294;ČLANARINE I NORME;216137.95;2493;229;0.01
2024;4222;KOMUNIKACIJSKA OPREMA;213453.81;16;11;0.01
2024;3296;TROŠKOVI SUDSKIH POSTUPAKA;203575.73;220;7;0.01
2024;4521;DODATNA ULAGANJA NA POSTROJENJIMA I OPREMI;198695.68;3;3;0.01
2024;12941;POTRAŽIVANJA PRORAČUNA OD PRORAČUNSKIH KORISNIKA ZA POVRAT U NADLEŽNI PRORAČUN;193559.41;1;1;0.01
2024;4225;INSTRUMENTI I UREĐAJI;149091.57;16;3;0.01
2024;3632;KAPITALNE POMOĆI UNUTAR OPĆEG PRORAČUNA;145586.35;1;1;0.01
2024;3241;NAKNADE TROŠKOVA OSOBAMA IZVAN RADNOG ODNOSA;132329.86;155;25;0.01
2024;3813;TEKUĆE DONACIJE IZ EU SREDSTAVA;111777.67;5;2;0.01
