godina;sifra;naziv;iznos_eur;broj_isplata;broj_primatelja;udio_posto
2026;4541;DODATNA ULAGANJA ZA OSTALU NEFINANCIJSKU IMOVINU;69446.95;5;2;0.01
2026;4123;LICENCE;56662.73;8;5;0.00
2026;4242;UMJETNIČKA DJELA (IZLOŽENA U GALERIJAMA, MUZEJIMA I SLIČNO);50987.00;1;1;0.00
2026;4225;INSTRUMENTI I UREĐAJI;44164.74;7;4;0.00
2026;4222;KOMUNIKACIJSKA OPREMA;24454.79;5;5;0.00
2026;3214;OSTALE NAKNADE TROŠKOVA ZAPOSLENIMA;16977.86;57;15;0.00
2026;4521;DODATNA ULAGANJA NA POSTROJENJIMA I OPREMI;6250.00;1;1;0.00
2026;3835;OSTALE KAZNE;4886.50;2;1;0.00
2026;32999;OSTALI NESPOMENUTI RASHODI POSLOVANJA;3855.00;6;4;0.00
2026;4244;OSTALE NESPOMENUTE IZLOŽBENE VRIJEDNOSTI;1012.80;1;1;0.00
2026;3631;TEKUĆE POMOĆI UNUTAR OPĆEG PRORAČUNA;450.00;2;1;0.00
2026;23954;OSTALE NESPOMENUTE OBVEZE;0.00;4;2;0.00
2026;1291;POTRAŽIVANJA ZA NAKNADE KOJE SE REFUNDIRAJU I PREDUJMOVE;-342839.28;169;1;-0.03
sve;3111;PLAĆE ZA REDOVAN RAD;961478188.74;14348;314;20.20
sve;3512;SUBVENCIJE TRGOVAČKIM DRUŠTVIMA U JAVNOM SEKTORU;618345829.89;287;11;12.99
sve;3232;USLUGE TEKUĆEG I INVESTICIJSKOG ODRŽAVANJA;591591158.85;24936;855;12.43
sve;3811;TEKUĆE DONACIJE U NOVCU;218454151.20;14796;1303;4.59
sve;4511;DODATNA ULAGANJA NA GRAĐEVINSKIM OBJEKTIMA;169760948.52;2152;276;3.57
sve;4214;OSTALI GRAĐEVINSKI OBJEKTI;152793148.43;3743;299;3.21
sve;3132;DOPRINOSI ZA OBVEZNO ZDRAVSTVENO OSIGURANJE;151996270.14;13336;314;3.19
sve;9999;NIJE DEFINIRANO;144726961.46;142;2;3.04
sve;4212;POSLOVNI OBJEKTI;139001880.03;1511;176;2.92
sve;5443;OTPLATA GLAVNICE PRIMLJENIH KREDITA OD TUZEMNIH KREDITNIH INSTITUCIJA IZVAN JAVNOG SEKTORA;133824827.68;1685;49;2.81
sve;3239;OSTALE USLUGE;115159152.94;16149;570;2.42
sve;3721;NAKNADE GRAĐANIMA I KUĆANSTVIMA U NOVCU;114433532.29;2615;171;2.40
sve;3223;ENERGIJA;96046867.51;43270;357;2.02
sve;3722;NAKNADE GRAĐANIMA I KUĆANSTVIMA U NARAVI;92047044.13;14331;292;1.93
sve;3235;ZAKUPNINE I NAJAMNINE;89151080.21;5927;183;1.87
sve;3121;OSTALI RASHODI ZA ZAPOSLENE;86936092.73;16790;288;1.83
sve;3861;KAPITALNE POMOĆI KREDITNIM I OSTALIM FINANCIJSKIM INSTITUCIJAMA TE TRGOVAČKIM DRUŠTVIMA U JAVNOM SEK;86539536.56;165;7;1.82
sve;3661;TEKUĆE POMOĆI PRORAČUNSKIM KORISNICIMA DRUGIH PRORAČUNA;54703591.68;566;47;1.15
sve;3234;KOMUNALNE USLUGE;53064189.31;59338;446;1.11
sve;3222;MATERIJAL I SIROVINE;52718791.59;7353;305;1.11
sve;4213;CESTE, ŽELJEZNICE I OSTALI PROMETNI OBJEKTI;50124075.19;3145;117;1.05
sve;23111;OBVEZE ZA ZAPOSLENE I PRIVREMENO ZAPOSLENE;42953831.54;1924;61;0.90
sve;3237;INTELEKTUALNE I OSOBNE USLUGE;38485433.31;22488;618;0.81
sve;3299;OSTALI NESPOMENUTI RASHODI POSLOVANJA;36927377.81;12916;927;0.78
sve;4221;UREDSKA OPREMA I NAMJEŠTAJ;34901612.73;1934;359;0.73
sve;5321;DIONICE I UDJELI U GLAVNICI TRGOVAČKIH DRUŠTAVA U JAVNOM SEKTORU;34153045.87;9;7;0.72
sve;3631;TEKUĆE POMOĆI UNUTAR OPĆEG PRORAČUNA;26791549.65;36;3;0.56
sve;3212;NAKNADE ZA PRIJEVOZ, ZA RAD NA TERENU I ODVOJENI ŽIVOT;26061264.37;14756;327;0.55
sve;5141;DANI ZAJMOVI TRGOVAČKIM DRUŠTVIMA U JAVNOM SEKTORU;25992500.00;5;2;0.55
sve;3238;RAČUNALNE USLUGE;25488314.53;11517;388;0.54
sve;27311;OBVEZE ZA NAPLAĆENE TUĐE PRIHODE;20283969.94;2269;192;0.43
sve;4111;ZEMLJIŠTE;16546887.96;64;18;0.35
sve;23955;OBVEZE ZA NAPLAĆENE TUĐE PRIHODE;16347387.69;1716;192;0.34
sve;3231;USLUGE TELEFONA, INTERNETA, POŠTE I PRIJEVOZA;14912028.81;13339;344;0.31
sve;3221;UREDSKI MATERIJAL I OSTALI MATERIJALNI RASHODI;14440451.81;11116;410;0.30
sve;3423;KAMATE ZA PRIMLJENE KREDITE I ZAJMOVE OD KREDITNIH I OSTALIH FINANCIJSKIH INSTITUCIJA IZVAN JAVNOG S;13773751.87;1725;50;0.29
sve;3291;NAKNADE ZA RAD PREDSTAVNIČKIH I IZVRŠNIH TIJELA, POVJERENSTAVA I SLIČNO;12974967.07;8537;327;0.27
sve;3523;SUBVENCIJE POLJOPRIVREDNICIMA I OBRTNICIMA;12836340.12;3948;89;0.27
sve;3691;TEKUĆI PRIJENOSI IZMEĐU PRORAČUNSKIH KORISNIKA ISTOG PRORAČUNA;12247670.93;1459;178;0.26
sve;4231;PRIJEVOZNA SREDSTVA U CESTOVNOM PROMETU;11124993.88;119;60;0.23
sve;3831;NAKNADE ŠTETA PRAVNIM I FIZIČKIM OSOBAMA;11115714.12;6696;132;0.23
sve;3693;TEKUĆI PRIJENOSI IZMEĐU PRORAČUNSKIH KORISNIKA ISTOG PRORAČUNA TEMELJEM PRIJENOSA EU SREDSTAVA;10897496.33;2394;123;0.23
sve;4227;UREĐAJI, STROJEVI I OPREMA ZA OSTALE NAMJENE;10678644.12;1062;293;0.22
sve;4241;KNJIGE;10463067.74;924;215;0.22
sve;3236;ZDRAVSTVENE I VETERINARSKE USLUGE;8637301.95;9954;323;0.18
sve;3233;USLUGE PROMIDŽBE I INFORMIRANJA;7879603.70;12373;427;0.17
sve;3292;PREMIJE OSIGURANJA;7188552.67;2034;317;0.15
sve;3224;MATERIJAL I DIJELOVI ZA TEKUĆE I INVESTICIJSKO ODRŽAVANJE;6065402.22;9139;335;0.13
sve;3433;ZATEZNE KAMATE;5918809.93;18460;357;0.12
sve;4251;VIŠEGODIŠNJI NASADI;5561876.93;11;2;0.12
sve;4224;MEDICINSKA I LABORATORIJSKA OPREMA;5507724.07;250;31;0.12
sve;3522;SUBVENCIJE TRGOVAČKIM DRUŠTVIMA I ZADRUGAMA IZVAN JAVNOG SEKTORA;4848827.29;597;270;0.10
sve;4262;ULAGANJA U RAČUNALNE PROGRAME;4658991.12;147;47;0.10
sve;5413;OTPLATA GLAVNICE PRIMLJENIH ZAJMOVA OD MEĐUNARODNIH ORGANIZACIJA;4210526.32;2;1;0.09
sve;4223;OPREMA ZA ODRŽAVANJE I ZAŠTITU;3413045.09;222;73;0.07
sve;3295;PRISTOJBE I NAKNADE;2922931.31;9654;219;0.06
sve;3131;DOPRINOSI ZA MIROVINSKO OSIGURANJE ZA STAŽ S POVEĆANIM TRAJANJEM;2868605.72;81;3;0.06
sve;3225;SITNI INVENTAR I AUTOGUME;2771519.81;7257;323;0.06
sve;3227;SLUŽBENA, RADNA I ZAŠTITNA ODJEĆA I OBUĆA;2761408.17;5878;232;0.06
sve;3114;PLAĆE ZA POSEBNE UVJETE RADA;2704911.66;230;13;0.06
sve;3211;SLUŽBENA PUTOVANJA;2542160.59;10957;384;0.05
sve;3421;KAMATE ZA PRIMLJENE KREDITE I ZAJMOVE OD MEĐUNARODNIH ORGANIZACIJA, INSTITUCIJA I TIJELA EU TE INOZE;2522777.69;4;1;0.05
sve;23221;UREDSKI MATERIJAL I OSTALI MATERIJALNI RASHODI;2281830.60;374;62;0.05
sve;3113;PLAĆE ZA PREKOVREMENI RAD;2107461.48;655;21;0.04
sve;3213;STRUČNO USAVRŠAVANJE ZAPOSLENIKA;2056091.07;8439;433;0.04
sve;4123;LICENCE;1926525.84;69;17;0.04
sve;3835;OSTALE KAZNE;1914412.70;4;2;0.04
sve;3431;BANKARSKE USLUGE I USLUGE PLATNOG PROMETA;1534495.19;10035;355;0.03
sve;4226;SPORTSKA I GLAZBENA OPREMA;1452997.67;75;12;0.03
sve;4124;OSTALA PRAVA;1219371.68;26;6;0.03
sve;3822;KAPITALNE DONACIJE GRAĐANIMA I KUĆANSTVIMA;1209668.66;39;13;0.03
sve;3692;KAPITALNI PRIJENOSI IZMEĐU PRORAČUNSKIH KORISNIKA ISTOG PRORAČUNA;1203000.00;4;1;0.03
sve;3293;REPREZENTACIJA;1111521.09;7220;369;0.02
sve;4211;STAMBENI OBJEKTI;729922.61;14;4;0.02
sve;3662;KAPITALNE POMOĆI PRORAČUNSKIM KORISNICIMA DRUGIH PRORAČUNA;700977.42;2;1;0.01
sve;3813;TEKUĆE DONACIJE IZ EU SREDSTAVA;595391.93;35;23;0.01
sve;3294;ČLANARINE I NORME;579403.97;6258;235;0.01
sve;3296;TROŠKOVI SUDSKIH POSTUPAKA;521950.86;431;17;0.01
sve;4222;KOMUNIKACIJSKA OPREMA;494479.69;50;24;0.01
sve;4225;INSTRUMENTI I UREĐAJI;472175.34;48;10;0.01
sve;3241;NAKNADE TROŠKOVA OSOBAMA IZVAN RADNOG ODNOSA;471982.33;423;32;0.01
sve;4264;OSTALA NEMATERIJALNA PROIZVEDENA IMOVINA;363543.20;43;2;0.01
sve;4243;MUZEJSKI IZLOŠCI I PREDMETI PRIRODNIH RIJETKOSTI;337627.00;13;8;0.01
sve;3821;KAPITALNE DONACIJE NEPROFITNIM ORGANIZACIJAMA;288701.86;2;1;0.01
sve;3434;OSTALI NESPOMENUTI FINANCIJSKI RASHODI;249520.07;3556;95;0.01
sve;3812;TEKUĆE DONACIJE U NARAVI;224809.05;650;217;0.00
sve;4521;DODATNA ULAGANJA NA POSTROJENJIMA I OPREMI;222761.93;6;5;0.00
sve;3112;PLAĆE U NARAVI;208733.21;440;5;0.00
sve;12941;POTRAŽIVANJA PRORAČUNA OD PRORAČUNSKIH KORISNIKA ZA POVRAT U NADLEŽNI PRORAČUN;193559.41;1;1;0.00
sve;3251;RASHODI PO OSNOVI UTROŠKA LIJEKOVA I POTROŠNOG MEDICINSKOG MATERIJALA;179126.85;109;10;0.00
sve;4242;UMJETNIČKA DJELA (IZLOŽENA U GALERIJAMA, MUZEJIMA I SLIČNO);157983.83;8;1;0.00
sve;3681;TEKUĆE POMOĆI TEMELJEM PRIJENOSA EU SREDSTAVA;149559.39;15;3;0.00
sve;3632;KAPITALNE POMOĆI UNUTAR OPĆEG PRORAČUNA;145586.35;1;1;0.00
sve;4541;DODATNA ULAGANJA ZA OSTALU NEFINANCIJSKU IMOVINU;103718.62;7;2;0.00
sve;3214;OSTALE NAKNADE TROŠKOVA ZAPOSLENIMA;63522.57;208;25;0.00
sve;5341;DIONICE I UDJELI U GLAVNICI TUZEMNIH TRGOVAČKIH DRUŠTAVA IZVAN JAVNOG SEKTORA;39102.00;1;1;0.00
sve;4252;OSNOVNO STADO;20833.34;10;1;0.00
sve;3426;KAMATE ZA PRIMLJENE ZAJMOVE OD TRGOVAČKIH DRUŠTAVA U JAVNOM SEKTORU;18134.59;1;1;0.00
sve;23954;OSTALE NESPOMENUTE OBVEZE;15869.92;5;3;0.00
sve;5445;OTPLATA GLAVNICE PRIMLJENIH ZAJMOVA OD OSTALIH TUZEMNIH FINANCIJSKIH INSTITUCIJA IZVAN JAVNOG SEKTOR;4017.37;13;1;0.00
sve;32999;OSTALI NESPOMENUTI RASHODI POSLOVANJA;3855.00;6;4;0.00
sve;4244;OSTALE NESPOMENUTE IZLOŽBENE VRIJEDNOSTI;3012.80;2;2;0.00
sve;4233;PRIJEVOZNA SREDSTVA U POMORSKOM I RIJEČNOM PROMETU;1380.00;4;1;0.00
sve;1291;POTRAŽIVANJA ZA NAKNADE KOJE SE REFUNDIRAJU I PREDUJMOVE;-914487.51;711;1;-0.02
