godina;sifra_ureda;naziv_ureda;iznos_eur;broj_isplata;broj_primatelja;udio_posto
2026;001;URED GRADONAČELNIKA;4692563.79;591;82;0.38
2026;014;GRADSKI URED ZA KATASTAR I GEODETSKE POSLOVE;3484415.18;332;23;0.28
2026;017;GRADSKI URED ZA KULTURNU BAŠTINU I PRIRODU;2403002.25;117;14;0.19
2026;018;STRUČNA SLUŽBA GRADSKE SKUPŠTINE;1884109.97;275;49;0.15
2026;003;GRADSKI URED ZA UNUTARNJU REVIZIJU I KONTROLU;923302.45;90;14;0.07
sve;009;GRADSKI URED ZA OBRAZOVANJE, SPORT I MLADE;1283658397.95;85019;886;27.19
sve;008;GRADSKI URED ZA GOSPODARSTVO, EKOLOŠKU ODRŽIVOST I STRATEGIJSKO PLANIRANJE;894790642.89;16287;751;18.96
sve;012;GRADSKI URED ZA IZGRADNJU, PROSTORNO UREĐENJE, GRADITELJSTVO I OBNOVU;654957751.99;21787;765;13.87
sve;005;GRADSKI URED ZA MJESNU SAMOUPRAVU, PROMET, KOMUNALNE POSLOVE, CIVILNU ZAŠTITU I SIGURNOST;530429898.50;16092;984;11.24
sve;021;GRADSKI URED ZA SOCIJALNU ZAŠTITU,  ZDRAVSTVO, BRANITELJE I OSOBE S INVALIDITETOM;420787476.93;18749;553;8.91
sve;024;GRADSKI URED ZA KULTURU I CIVILNO DRUŠTVO;335218465.40;16926;922;7.10
sve;007;GRADSKI URED ZA FINANCIJE I JAVNU NABAVU;163629935.71;5901;147;3.47
sve;000;PRIHODI GRADA ZAGREBA;138151561.54;30;1;2.93
sve;033;GRADSKI URED ZA DIGITALIZACIJU, NOVE TEHNOLOGIJE I TEHNIČKE POSLOVE;106937079.73;23493;383;2.27
sve;013;GRADSKI URED ZA UPRAVLJANJE IMOVINOM I STANOVANJE;91256906.80;68371;257;1.93
sve;020;STRUČNA SLUŽBA GRADSKE UPRAVE;26342873.31;10822;118;0.56
sve;006;GRADSKI URED ZA OPĆU UPRAVU I IMOVINSKO-PRAVNE POSLOVE;25492399.32;1246;40;0.54
sve;014;GRADSKI URED ZA KATASTAR I GEODETSKE POSLOVE;13810829.33;1470;39;0.29
sve;018;STRUČNA SLUŽBA GRADSKE SKUPŠTINE;12881025.61;1593;133;0.27
sve;001;URED GRADONAČELNIKA;12302803.95;1796;170;0.26
sve;017;GRADSKI URED ZA KULTURNU BAŠTINU I PRIRODU;6367806.23;531;33;0.13
sve;003;GRADSKI URED ZA UNUTARNJU REVIZIJU I KONTROLU;3476812.26;405;31;0.07
